Fecha,m1
01/01/2001,524836130
01/02/2001,517186606
01/03/2001,509701873
01/04/2001,511952430
01/05/2001,514845460
01/06/2001,531037690
01/07/2001,535590659
01/08/2001,546637482
01/09/2001,578773947
01/10/2001,577395500
01/11/2001,610195419
01/12/2001,680465101.7
01/01/2002,633735844.4
01/02/2002,627350424.1
01/03/2002,642571824.4
01/04/2002,629813665.7
01/05/2002,632831164.5
01/06/2002,653585380.9
01/07/2002,650359307.9
01/08/2002,647583240.8
01/09/2002,654061115.1
01/10/2002,651911832.1
01/11/2002,679638518.8
01/12/2002,766241058.5
01/01/2003,719717017.7
01/02/2003,707376873.6
01/03/2003,714382417.1
01/04/2003,702921409.5
01/05/2003,711851230.1
01/06/2003,727496498.3
01/07/2003,722539884.1
01/08/2003,720237740.5
01/09/2003,723358643.5
01/10/2003,731312557.6
01/11/2003,765699246.1
01/12/2003,857418364.2
01/01/2004,811975918
01/02/2004,804429647.4
01/03/2004,796861660.5
01/04/2004,799774807.4
01/05/2004,816684885.4
01/06/2004,849498926.4
01/07/2004,830657826.8
01/08/2004,824501677.8
01/09/2004,832481290.2
01/10/2004,844900914.9
01/11/2004,865986082.3
01/12/2004,946312797.1
01/01/2005,908035091.6
01/02/2005,903986453.7
01/03/2005,890367065.1
01/04/2005,890894217.5
01/05/2005,892003008.8
01/06/2005,929955320.6
01/07/2005,924866787.2
01/08/2005,916392444.5
01/09/2005,924600729.5
01/10/2005,934761855.5
01/11/2005,962288428.1
01/12/2005,1068139312
01/01/2006,1019917763
01/02/2006,1012587330
01/03/2006,1032942320
01/04/2006,1042284481
01/05/2006,1047836111
01/06/2006,1096855213
01/07/2006,1091461936
01/08/2006,1060740930
01/09/2006,1074176151
01/10/2006,1067786693
01/11/2006,1117490224
01/12/2006,1218196212
01/01/2007,1145328848
01/02/2007,1130788211
01/03/2007,1144618543
01/04/2007,1126302579
01/05/2007,1132230566
01/06/2007,1173513684
01/07/2007,1162624881
01/08/2007,1172696609
01/09/2007,1198792698
01/10/2007,1178607329
01/11/2007,1212874658
01/12/2007,1349790076
01/01/2008,1267859659
01/02/2008,1253250279
01/03/2008,1231223441
01/04/2008,1231574620
01/05/2008,1235484205
01/06/2008,1242487027
01/07/2008,1232771264
01/08/2008,1235888354
01/09/2008,1240044574
01/10/2008,1280698618
01/11/2008,1336988462
01/12/2008,1482728232
01/01/2009,1416248742
01/02/2009,1420748804
01/03/2009,1403282963
01/04/2009,1394809716
01/05/2009,1405502624
01/06/2009,1412155201
01/07/2009,1416052316
01/08/2009,1406616186
01/09/2009,1408923740
01/10/2009,1456830289
01/11/2009,1481480152
01/12/2009,1613450000
01/01/2010,1547730010
01/02/2010,1517869614
01/03/2010,1524673469
01/04/2010,1503990112
01/05/2010,1526831442
01/06/2010,1557126005
01/07/2010,1562707324
01/08/2010,1561715861
01/09/2010,1575903554
01/10/2010,1581896027
01/11/2010,1627355714
01/12/2010,1831591445
01/01/2011,1728772138
01/02/2011,1723622269
01/03/2011,1734597226
01/04/2011,1742346200
01/05/2011,1725414015
01/06/2011,1786661865
01/07/2011,1773596721
01/08/2011,1770802580
01/09/2011,1878140344
01/10/2011,1860381606
01/11/2011,1896333582
01/12/2011,2081526298
01/01/2012,1977024819
01/02/2012,1938067673
01/03/2012,2025670843
01/04/2012,1993418065
01/05/2012,2024555007
01/06/2012,2103633907
01/07/2012,2045683290
01/08/2012,2065560499
01/09/2012,2076104428
01/10/2012,2051920924
01/11/2012,2134858980
01/12/2012,2278174708
01/01/2013,2173269543
01/02/2013,2154134555
01/03/2013,2174771787
01/04/2013,2142217471
01/05/2013,2171176314
01/06/2013,2211663709
01/07/2013,2207369361
01/08/2013,2239638324
01/09/2013,2245970278
01/10/2013,2214060389
01/11/2013,2344972158
01/12/2013,2511368572
01/01/2014,2453893755
01/02/2014,2438087944
01/03/2014,2445032397
01/04/2014,2460979495
01/05/2014,2489140491
01/06/2014,2504596298
01/07/2014,2531496077
01/08/2014,2545089854
01/09/2014,2556416712
01/10/2014,2618525167
01/11/2014,2711723106
01/12/2014,2876506247
01/01/2015,2887393059
01/02/2015,2869132683
01/03/2015,2884130824
01/04/2015,2922876605
01/05/2015,2941241425
01/06/2015,2967522802
01/07/2015,3023155178
01/08/2015,3052866101
01/09/2015,3056561053
01/10/2015,3103509535
01/11/2015,3129911043
01/12/2015,3348743500
01/01/2016,3296228415
01/02/2016,3272357666
01/03/2016,3301177621
01/04/2016,3318515721
01/05/2016,3381895447
01/06/2016,3440349801
01/07/2016,3456182318
01/08/2016,3469969234
01/09/2016,3488334775
01/10/2016,3513857741
01/11/2016,3650474085
01/12/2016,3868310952
01/01/2017,3811392752
01/02/2017,3798023998
01/03/2017,3783838369
01/04/2017,3812359643
01/05/2017,3739860928
01/06/2017,3805689580
01/07/2017,3822383203
01/08/2017,3777435858
01/09/2017,3859419791
01/10/2017,3920568309
01/11/2017,3994732947
01/12/2017,4264017582
01/01/2018,4075871704
01/02/2018,4075774261
01/03/2018,4138523788
01/04/2018,4142745967
01/05/2018,4154520320
01/06/2018,4286011488
01/07/2018,4173476692
01/08/2018,4197524436
01/09/2018,4159127404
01/10/2018,4204528593
01/11/2018,4350488324
01/12/2018,4492216320
01/01/2019,4323954421
01/02/2019,4306875853
01/03/2019,4315849487
01/04/2019,4290374415
01/05/2019,4338162026
01/06/2019,4351788055
01/07/2019,4311122442
01/08/2019,4390415278
01/09/2019,4331168999
01/10/2019,4337305970
01/11/2019,4511911114
01/12/2019,4702035012
01/01/2020,4556118434
01/02/2020,4600700186
01/03/2020,4874195865
01/04/2020,5109698028
01/05/2020,5157284140
01/06/2020,5173582446
01/07/2020,5246041226
01/08/2020,5244100369
01/09/2020,5223455851
01/10/2020,5329239334
01/11/2020,5384565667
01/12/2020,5645704961
01/01/2021,5589227605
01/02/2021,5581783983
01/03/2021,5692423852
01/04/2021,5698798442
01/05/2021,5717440525
01/06/2021,5758688675
01/07/2021,5868894950
01/08/2021,5854176325
01/09/2021,5880840328
01/10/2021,5936065870
01/11/2021,6105346298
01/12/2021,6377133889
01/01/2022,6297482085
01/02/2022,6368246316
01/03/2022,6352134446
01/04/2022,6428968873
01/05/2022,6419320096
01/06/2022,6459704343
01/07/2022,6511144565
01/08/2022,6447116014
01/09/2022,6436513272
01/10/2022,6488318839
01/11/2022,6602502771
01/12/2022,6926065215
01/01/2023,6670315373
01/02/2023,6639864718
01/03/2023,6650740110
01/04/2023,6674672356
01/05/2023,6679350988
01/06/2023,6741457181
01/07/2023,6810745354
01/08/2023,6811960061
01/09/2023,6850744489
01/10/2023,6953980121
01/11/2023,7109144829
01/12/2023,7442319163
01/01/2024,7281862184
01/02/2024,7422935452
01/03/2024,7445688556
01/04/2024,7344490798
01/05/2024,7417060186
01/06/2024,7509316810
01/07/2024,7517595351
01/08/2024,7601890450
01/09/2024,7620776900
01/10/2024,7667574679
01/11/2024,7962476750
01/12/2024,8304519124
01/01/2025,8076727183
01/02/2025,8044725659
01/03/2025,7984228845
01/04/2025,8014131476
01/05/2025,8088803845
01/06/2025,8123506106
01/07/2025,8153317967
01/08/2025,8189664342
01/09/2025,8154537925
